ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
4.178074132202919122e-03,-1.483165942362360719e-04,-1.769804439078092812e-08
4.178074132202460288e-03,-1.487687789747608579e-04,-1.780619855693785201e-08
4.178074132201995382e-03,-1.492209637132856169e-04,-1.791468246140621264e-08
4.178074132201527874e-03,-1.496731484518104300e-04,-1.802349610418601331e-08
4.178074132201055162e-03,-1.501253331903351889e-04,-1.813263948527726064e-08
4.178074132200578980e-03,-1.505775179288599750e-04,-1.824211260467994470e-08
4.178074132200098462e-03,-1.510297026673847339e-04,-1.835191546239407213e-08
4.178074132199613606e-03,-1.514818874059094657e-04,-1.846204805841963959e-08
4.178074132199123547e-03,-1.519340721444342247e-04,-1.857251039275665041e-08
4.178074132198629151e-03,-1.523862568829589565e-04,-1.868330246540510127e-08
4.178074132198131285e-03,-1.528384416214837154e-04,-1.879442427636499549e-08
4.178074132197628215e-03,-1.532906263600084472e-04,-1.890587582563632645e-08
4.178074132197120809e-03,-1.537428110985331791e-04,-1.901765711321909414e-08
4.178074132196609065e-03,-1.541949958370579109e-04,-1.912976813911330518e-08
4.178074132196092985e-03,-1.546471805755826156e-04,-1.924220890331895296e-08
4.178074132195571701e-03,-1.550993653141073203e-04,-1.935497940583604078e-08
4.178074132195046947e-03,-1.555515500526320522e-04,-1.946807964666456865e-08
4.178074132194516122e-03,-1.560037347911567569e-04,-1.958150962580452995e-08
4.178074132193981827e-03,-1.564559195296814345e-04,-1.969526934325593790e-08
4.178074132193442328e-03,-1.569081042682061392e-04,-1.980935879901877929e-08
4.178074132192898492e-03,-1.573602890067307897e-04,-1.992377799309306734e-08
4.178074132192349452e-03,-1.578124737452554674e-04,-2.003852692547878220e-08
4.178074132191796075e-03,-1.582646584837801450e-04,-2.015360559617594372e-08
4.178074132191237494e-03,-1.587168432223048226e-04,-2.026901400518453535e-08
4.178074132190674576e-03,-1.591690279608294731e-04,-2.038475215250457035e-08
