gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.966025286330403049e-02,-1.352334161116888929e-02,-4.968788699611163514e-04
-4.890651035782912423e-03,-2.001906947532236872e-02,3.170053519035879314e-02
-1.769482005028806190e-02,-2.137733746481565965e-03,-2.966644858187298880e-02
-9.344492298864566157e-03,-2.737928938822606351e-02,-9.475577649737252500e-03
1.830592995384983795e-02,-1.838370670396700934e-02,-1.777725503689627515e-03
3.693060520202100759e-03,3.141224025458263288e-03,3.555920127480646092e-02
-4.288990347673729553e-03,1.578604089790383927e-02,4.411996660271681747e-02
1.985080085695499486e-02,-1.480050521487332599e-02,-2.287177576212410732e-03
1.679972552362709725e-04,-1.067204338812842565e-03,-8.740853172852289590e-03
-8.829709422225148763e-03,1.974613637309630132e-02,3.099294961250873351e-02
1.927342410560795938e-03,5.904384648508297778e-03,2.043395372896422701e-02
2.298338799742626753e-02,1.185815767562250697e-02,4.125213325350370747e-02
-1.102041578703747901e-02,-1.942339290027994547e-02,9.926460913465351768e-03
1.567352727037836860e-02,2.147343368040054851e-02,-8.877230831594879606e-03
1.994530848763683036e-03,2.006091892003194349e-02,3.463176280862103468e-02
4.360090997674655189e-02,2.987797411279539267e-02,2.158872854866134960e-03
1.966018105091064602e-02,6.025794213024655323e-03,-1.348396164742926909e-02
1.012250949210281512e-02,-5.026533452727964188e-03,-1.672516730727525991e-02
-4.744777081782089283e-03,1.726148434621623678e-02,-1.226403722111863402e-02
2.150207513410841681e-04,-1.666913553976655943e-02,1.084847480656390105e-02
3.451649312108615031e-02,-3.953276293928657814e-02,1.662631143023749619e-02
3.283043717710638909e-02,2.775897450298599536e-02,9.467756445880663035e-03
2.006981793533227365e-02,-1.747083864515960525e-02,1.839005982037692161e-03
1.385625339141462447e-03,6.014228538201290761e-03,3.046076453841460932e-02
5.180564261149775331e-04,3.165253901776726025e-02,3.220459365269050245e-02
1.662088672628509248e-02,-1.216527571289572826e-02,-3.266459112586991690e-04
9.480641249379079608e-03,1.165023748990185772e-02,-3.776484487881402036e-02
-2.016385758562449712e-02,-1.457465325568910869e-02,-1.367323252183628990e-02
1.653816101511644196e-02,-1.658039737129364879e-02,-4.184896393819317884e-03
1.737164011490187690e-02,3.395106626609733884e-03,-1.143402314125278006e-02
5.394273815582418391e-02,1.307002158217229065e-02,4.832562947538082167e-04
-6.866252930480375031e-04,1.645105005282883684e-02,-1.730747112025377010e-02
1.097157163206247295e-02,-1.893145060202388458e-02,1.415553396019756001e-02
3.920840545073037836e-02,-3.549414380521516421e-02,-1.338132991385424832e-03
1.839993983540339634e-02,1.227655490135800762e-02,-1.230415016106771193e-03
-1.337407806068445157e-02,-1.595738570200085429e-02,-5.989433567201385422e-02
3.228758668873684540e-02,1.221870297319149930e-02,1.380246558476305903e-02
2.552141750158266886e-02,-1.015666487421665147e-02,-2.251334223108776567e-02
-5.202969184335645703e-03,-4.152684908647928663e-02,1.674177447376301586e-02
5.641618395202124435e-04,-4.246221940637335060e-03,1.922383706351554755e-02
-2.681089715570792245e-02,-2.372508859424920027e-02,3.141244291807921557e-02
-2.874383803619365383e-03,-1.093577002187422556e-02,-2.860437064040359523e-02
1.016892249138623937e-02,-8.751582845272857722e-03,3.397407738084488177e-02
8.388532716315367024e-03,-8.861703917284547219e-03,-5.304710424955398802e-04
4.526274820960446421e-02,-1.847484559262852920e-04,-7.616931798451030515e-03
1.567984639556249671e-03,-1.725748713997898171e-02,-1.302349284354373596e-02
3.163863529764016774e-02,-2.524814520108079399e-02,7.299733420115524056e-03
-1.824168475128703235e-03,6.603358257231245997e-03,9.166545024176075973e-03
2.233687908728415605e-02,-1.631692989637385793e-02,1.276458187071178273e-02
1.919512623324419118e-02,-1.109543447231843040e-02,-2.247667577157725152e-02
-2.636676748430546655e-02,-4.900400212280281963e-03,-1.634658252344941762e-02
2.452086941595111452e-02,2.645986417059504117e-02,-1.505171899933640568e-02
5.635716152787944438e-02,2.569585794773307508e-02,-1.556846393012366325e-02
7.325217259715181188e-04,5.235709121750280193e-02,4.594439995374948599e-02
-1.342633333559382219e-02,1.122934833041719024e-02,1.811202570043363852e-02
2.260494239457288765e-02,-1.710572939132866052e-02,-1.027473225988685332e-02
4.143398674734823789e-02,7.420972475672690111e-03,-3.553699323891394181e-03
2.904644667713199491e-05,6.788399939594113967e-03,-2.409473917579098984e-02
2.684905305552849966e-02,-6.930550034997304265e-03,-6.605397188487186627e-03
4.252436188145254647e-03,6.936887073246440901e-04,7.703527477002094885e-03
7.404518747296470922e-03,-1.890651558268581153e-02,-1.285934326651617249e-02
1.596807209899766752e-02,-5.150027487924445260e-05,-3.155110069511769116e-02
-2.621222308132389184e-02,1.477796678706798199e-02,-9.515136931093902059e-03
4.993422923342377695e-02,3.232166444350775651e-03,6.846369252359559184e-03
9.067661461308079707e-03,1.818082270938413793e-03,1.587356564522517458e-02
-2.116495530909431877e-02,3.245685316220730393e-02,4.243281433850998319e-03
2.991420938101701198e-03,-1.964183320820320905e-02,-3.962632032182643316e-02
1.804883358905080143e-02,-2.235134670834199380e-02,-1.068190235425902843e-02
2.591503864977706684e-02,-4.143039785306346784e-02,-3.817688851829188768e-02
1.420171767309752302e-02,4.467280140070866053e-03,-7.655676950273589132e-03
-2.982609702343103769e-02,4.026408671817642559e-02,2.637522095750920864e-03
-8.911859300794321148e-03,1.471197588915559330e-02,-3.976044348228692515e-02
5.597036064466393013e-02,3.729192980985482353e-02,1.630092537505216724e-02
