gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
-1.074926978839198228e-04,1.600728096554679125e-01,-2.475238819646960472e-05
-1.163181915685534669e-04,1.601300815634654484e-01,-2.529695146741574964e-05
-1.047142741528845310e-04,1.601873695756851068e-01,-2.465184668299957824e-05
-1.076061757053838221e-04,1.602446562496964710e-01,-2.485935533107377256e-05
-1.351953954001915202e-04,1.603018561282893995e-01,-2.653595658302962103e-05
-1.290126115268725338e-04,1.603591580211352063e-01,-2.622949759567126009e-05
-1.404420832599091750e-04,1.604164295562978126e-01,-2.694315726067693961e-05
-1.271902771074146584e-04,1.604737311981569992e-01,-2.620369798699179558e-05
-1.097116668840050026e-04,1.605310246546313158e-01,-2.521107404871365638e-05
-9.310369078246950782e-05,1.605883166611858093e-01,-2.425200759158988747e-05
-1.092731223365940027e-04,1.606455867352445943e-01,-2.520616732313542480e-05
-1.058992577580039434e-04,1.607028928976910465e-01,-2.500664019888400162e-05
-1.181358858110921270e-04,1.607601730409430330e-01,-2.573705695639145772e-05
-1.332222962636712353e-04,1.608174412200905068e-01,-2.665704911593857633e-05
-1.249586704354136932e-04,1.608747507951902578e-01,-2.620438519315128957e-05
-1.270204553487350499e-04,1.609320524599634483e-01,-2.635153195426551403e-05
-1.247149139897199533e-04,1.609893583403607664e-01,-2.624165393266188426e-05
-1.082876944440442496e-04,1.610466565042182052e-01,-2.532436986195466880e-05
-9.171512164953854495e-05,1.611039510809132713e-01,-2.440438539163952906e-05
-8.371174709167737986e-05,1.611612556526982043e-01,-2.397980433558612360e-05
-9.723131680028095937e-05,1.612185388012385423e-01,-2.482110358675561980e-05
-8.515406974723869701e-05,1.612758397362445140e-01,-2.413236922509624585e-05
-6.893945359825845345e-05,1.613331299692442877e-01,-2.321065667632844331e-05
-7.251538475865880473e-05,1.613904349885224299e-01,-2.345391387750870286e-05
-5.569106594376285323e-05,1.614477201030401765e-01,-2.249623725674728498e-05
-6.666646078149535864e-05,1.615050170789087414e-01,-2.321213628265293892e-05
-5.850913505500382017e-05,1.615623192236806116e-01,-2.278403266456600584e-05
-6.619884693290384607e-05,1.616196202676535298e-01,-2.329541618870096427e-05
-5.532589745270789555e-05,1.616769170210940465e-01,-2.269845979824630669e-05
-6.278915528311954498e-05,1.617342181345448326e-01,-2.317484680604687923e-05
-5.901445040165163142e-05,1.617915222029653599e-01,-2.298188979944717927e-05
-4.579034915521971088e-05,1.618488112427830250e-01,-2.226242427014279941e-05
-2.710438588869603800e-05,1.619060813284970146e-01,-2.123857294752356424e-05
-6.298491781177467956e-05,1.619632947350786167e-01,-2.343129743459892962e-05
-7.032678204469299183e-05,1.620206049656836289e-01,-2.392759863031936334e-05
-6.498812814570412611e-05,1.620779175453874177e-01,-2.368767377346653628e-05
-3.782303642024560376e-05,1.621351684540442706e-01,-2.214414126607683930e-05
-5.211494679571749975e-05,1.621924721463529340e-01,-2.308276440264855675e-05
-6.333176352816210315e-05,1.622497783453375753e-01,-2.384289125039094578e-05
-6.603106926817961704e-05,1.623070924224682965e-01,-2.410776166956801479e-05
-7.724071022164985501e-05,1.623643930356051257e-01,-2.484043740710339569e-05
-7.022841109771956543e-05,1.624217033644217156e-01,-2.450342649894526683e-05
-6.854951368048024264e-05,1.624790145285856524e-01,-2.447592217995394611e-05
-6.955170708208439695e-05,1.625363238210685290e-01,-2.461592110641556473e-05
-7.280597339735816499e-05,1.625936304519571551e-01,-2.488608641462898433e-05
-5.544598623325449553e-05,1.626509154441753424e-01,-2.390612405717307766e-05
-3.258692906642020781e-05,1.627081768039537746e-01,-2.259635841413708244e-05
-4.006273729691844790e-05,1.627654863458420365e-01,-2.309929600004880599e-05
-4.695701724758733511e-05,1.628227943636873232e-01,-2.358096628511248305e-05
-4.252461953048318374e-05,1.628801007070869167e-01,-2.338380455591183537e-05
-6.503593920686964734e-06,1.629372850824920282e-01,-2.126936920440784944e-05
-9.183131216856620414e-08,1.629945924355899189e-01,-2.090737903248463000e-05
1.709825716079187234e-06,1.630519052712495476e-01,-2.084819062266210257e-05
-2.045553679238061226e-05,1.631091983372970899e-01,-2.225007982725784317e-05
-2.234529760147656386e-05,1.631665144119101296e-01,-2.242991731142156658e-05
-4.761247978009240217e-05,1.632237874411038847e-01,-2.403155497970500826e-05
-3.313813553525222464e-05,1.632810829693881194e-01,-2.322175307019775040e-05
