Yaw (deg),Pitch (deg),Roll (deg)
-6.976787081855646380e-18,2.707843716204656559e+01,-9.986714896482208614e-02
4.362174129698429264e-19,2.712162326144659019e+01,1.529828221066260006e-02
3.491869073038524629e-18,2.718977108261237063e+01,-8.942928983184343650e-02
8.723244287648373502e-19,2.710746317398968941e+01,1.710333988301422289e-02
-1.746670155020924758e-18,2.723670695459771451e+01,-5.556201130249845133e-02
0.000000000000000000e+00,2.716333946376559183e+01,2.770095944636331506e-02
-2.181429520294482019e-19,2.713917880323498366e+01,6.870382639577608287e-03
-8.523668181686537943e-22,2.717140937139697954e+01,-1.628187138077089301e-05
0.000000000000000000e+00,2.707319649429416586e+01,6.088945271079331673e-02
0.000000000000000000e+00,2.711884703321197776e+01,5.847200003053408751e-04
0.000000000000000000e+00,2.715628176753336831e+01,2.342592104158788477e-02
