accel_bias_x (m/s^2),accel_bias_y (m/s^2),accel_bias_z (m/s^2)
-1.579038247847801420e-04,9.999986616139375228e-02,-4.282622391434340596e-05
9.767754073159035653e-05,9.999994883704634019e-02,-2.629992681312263018e-05
-4.339560781549316269e-04,9.999903973869972429e-02,-6.110204735269248529e-05
2.572985761519605476e-04,9.999966762220624528e-02,-1.651941244116740960e-05
1.112610624183411840e-04,9.999993470687087993e-02,-2.606909187528316931e-05
-1.086477119819690193e-04,9.999993276340490844e-02,-4.053380295186223971e-05
-1.429260077900622219e-04,9.999988891988648154e-02,-4.228671967268506727e-05
-6.516292999822047988e-05,9.999997149799944030e-02,-3.813386755815156165e-05
9.444209030678123304e-05,9.999995149153918794e-02,-2.797108127244778692e-05
-1.050176666531833411e-04,9.999993664265433013e-02,-4.053091176933163202e-05
1.352709369028357738e-04,9.999990539429381986e-02,-2.495808315880891060e-05
-3.789655833398687473e-04,9.999926474353958150e-02,-5.861602279028825454e-05
-4.469160739740207582e-04,9.999898120052148898e-02,-6.344194647863617945e-05
-4.682139154463247949e-04,9.999888269801848750e-02,-6.507593504850551168e-05
-1.667234615641819854e-05,9.999999240082313445e-02,-3.524015022248179425e-05
