q0 (),q1,q2,q3
9.995530004218657893e-01,1.019060393876711673e-04,2.989625623642836599e-02,-5.315872917323203668e-05
9.995525833929762571e-01,1.010806475869324575e-04,2.991020093201453636e-02,-5.191662957581796753e-05
9.995521432487889379e-01,1.014436487562464078e-04,2.992490980104743278e-02,-4.908500731696899976e-05
9.995517134651766833e-01,1.015117194814737725e-04,2.993925518110871972e-02,-5.294715136095566317e-05
9.995512272413926702e-01,1.029903610238780984e-04,2.995548273671528455e-02,-5.066776066613617313e-05
9.995508746321982718e-01,1.035879685651752436e-04,2.996724216523598272e-02,-5.185123396692350794e-05
9.995504564365067512e-01,1.022707402755320175e-04,2.998119454549304577e-02,-5.051625480597427567e-05
9.995500374957883016e-01,1.004401725660636325e-04,2.999516278445245668e-02,-5.160885931997726103e-05
9.995496550572924299e-01,1.028120969763530860e-04,3.000789633442943125e-02,-5.159556859918480184e-05
9.995491673331173832e-01,1.049523687781830743e-04,3.002412726016983127e-02,-5.339417021660514476e-05
9.995487653737330502e-01,1.051968523615636955e-04,3.003750568111199226e-02,-5.315943632317588321e-05
9.995483430164765482e-01,1.069224322045772937e-04,3.005155352134490643e-02,-5.168717091497015991e-05
9.995478793136015616e-01,1.059318721383638328e-04,3.006697196223201765e-02,-5.417695740443318272e-05
9.995474753487808561e-01,1.057409520050880166e-04,3.008039785255542040e-02,-5.484306262527833203e-05
9.995471133858796486e-01,1.023025339755672650e-04,3.009243043705587400e-02,-5.732833592746824664e-05
9.995467159972564186e-01,9.953236087540237771e-05,3.010563552680787028e-02,-5.780948398531136342e-05
9.995462845454726741e-01,9.951581145589671049e-05,3.011995645873719041e-02,-5.805917835579525559e-05
9.995458316033464241e-01,1.003556885393457212e-04,3.013498541893061544e-02,-5.573967644945306834e-05
9.995453547730857036e-01,9.901761295669603790e-05,3.015079959195638912e-02,-5.684209814749362720e-05
9.995448644345324984e-01,9.653552870991438726e-05,3.016705450314581191e-02,-5.904276424328452335e-05
9.995444326327294071e-01,9.923062241289521421e-05,3.018135340211637249e-02,-5.703521010714518842e-05
9.995440166488971379e-01,9.797645983257003658e-05,3.019513074497941901e-02,-5.710776050956491043e-05
9.995434907789445544e-01,9.820408296822203840e-05,3.021253075568536284e-02,-5.816130124385175719e-05
9.995430597065682043e-01,9.950292311281316924e-05,3.022677843100293402e-02,-6.129668102446317226e-05
9.995425911274551378e-01,9.881052619033840983e-05,3.024227443858605938e-02,-5.996227251570753646e-05
9.995422228592908409e-01,9.917797148656988960e-05,3.025444356177950031e-02,-5.941384511847642281e-05
9.995417072114378687e-01,9.902973175440373790e-05,3.027147486141197261e-02,-5.956233379849083163e-05
9.995414028678423213e-01,1.003023363679823664e-04,3.028152121049192472e-02,-5.801384079457233388e-05
9.995409905162937481e-01,9.925892789701436908e-05,3.029513331614764118e-02,-5.764311484477637902e-05
9.995405449237325657e-01,9.977951891246285255e-05,3.030982375914366769e-02,-6.067375955145518573e-05
9.995401479853659454e-01,1.005792326907168472e-04,3.032290307384256575e-02,-6.323278562173833899e-05
9.995398328349021089e-01,1.012190830036866683e-04,3.033328082562070788e-02,-6.637339492005557031e-05
9.995393608090330506e-01,1.006974534303548967e-04,3.034883027623195770e-02,-6.748597612366992568e-05
9.995389339583038435e-01,9.975466113987332430e-05,3.036289328612216606e-02,-6.528246913996560701e-05
9.995384850962604206e-01,1.005117575700694343e-04,3.037766223647285838e-02,-6.592348747648849559e-05
9.995379999803767346e-01,1.008933938335916316e-04,3.039361734005296967e-02,-6.663886310063274747e-05
9.995375433040448732e-01,1.028650448778523958e-04,3.040862876612124982e-02,-6.512343395500800214e-05
9.995370689644778039e-01,1.023446247169132722e-04,3.042422368877176556e-02,-6.248531116644820795e-05
9.995366095893354341e-01,9.811700365685916737e-05,3.043932281287701699e-02,-6.395626300374415837e-05
9.995361509077788087e-01,1.014650282171471299e-04,3.045436595431140481e-02,-6.578473362281008949e-05
9.995356573546391177e-01,1.008696294910369867e-04,3.047056065183543702e-02,-6.659962576868349758e-05
9.995352862636478486e-01,1.031685794261123546e-04,3.048272096689311553e-02,-6.776832808789488394e-05
9.995349188212420133e-01,9.917001219379184844e-05,3.049478544318444048e-02,-6.544536633435348494e-05
9.995344273111005373e-01,9.744610503297500856e-05,3.051089707663555070e-02,-6.545002521852411937e-05
9.995339997123263709e-01,9.768467601022354306e-05,3.052489788666257545e-02,-6.697605617408849661e-05
9.995335566172476316e-01,9.934583203957136096e-05,3.053940340655299582e-02,-6.454496767377182519e-05
9.995332043431430780e-01,9.866428189673904082e-05,3.055093768784107947e-02,-6.234806881206092814e-05
9.995327745631416017e-01,9.944135861810504576e-05,3.056498780345074870e-02,-6.485444530994698392e-05
9.995324027719019178e-01,1.005454909288401084e-04,3.057714932869045471e-02,-6.032050897016690076e-05
9.995318991670929520e-01,1.020822061664790738e-04,3.059360149533261325e-02,-6.061511647096889802e-05
9.995314649623361358e-01,1.023748036697944702e-04,3.060778932030347108e-02,-5.746798752444499324e-05
9.995311252486109854e-01,1.061986431498634464e-04,3.061886518899877702e-02,-5.895448874910465601e-05
9.995306740652691868e-01,1.080959316729308216e-04,3.063358765015991581e-02,-5.679417496560758657e-05
9.995301985425796287e-01,1.078111007987129653e-04,3.064909043045825621e-02,-6.191916908138612758e-05
9.995297237057950701e-01,1.068753121340702546e-04,3.066457785363915084e-02,-6.059160708166421187e-05
9.995292098363712796e-01,1.077823545721293943e-04,3.068132224885934331e-02,-5.942983155206119376e-05
9.995287339076325273e-01,1.045245294900310347e-04,3.069683757260812523e-02,-5.771194833761501028e-05
