accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.000000121019371235e+01,4.632102490005153996e-07,-9.780180134666890623e+00
1.000000501150973520e+01,-5.954356556205266222e-06,-9.780178790654339593e+00
9.999993879285216991e+00,-3.527763414749211205e-06,-9.780184068887733062e+00
1.000000129382721248e+01,-1.233453357171238958e-08,-9.780184427762707244e+00
9.999996038551394406e+00,2.310572174089295929e-06,-9.780182854040210927e+00
1.000000026804889508e+01,1.622863043452548993e-06,-9.780180464637657778e+00
9.999998073927828912e+00,-4.402997665763832633e-06,-9.780178298308598528e+00
9.999997131171427966e+00,3.232112972124102592e-06,-9.780173373176104690e+00
9.999997014145488805e+00,-2.963850659909069603e-07,-9.780178796262971375e+00
1.000000218934111018e+01,-6.118140171573819137e-06,-9.780179076533652704e+00
9.999999876136570265e+00,-5.412438313178160264e-06,-9.780166156557797308e+00
9.999998941054442980e+00,-3.642148922905380435e-06,-9.780177680085117231e+00
1.000000063875110889e+01,-4.233679439745531897e-07,-9.780172463170764274e+00
9.999997208134006499e+00,-4.142183254979940936e-07,-9.780176644811851006e+00
9.999995584102199686e+00,2.268749222921798871e-06,-9.780171149441015288e+00
9.999999581448696162e+00,6.318459225777363159e-06,-9.780161819023732050e+00
9.999993728971315221e+00,-3.042780189175641954e-06,-9.780164762307901327e+00
1.000000167012414920e+01,2.344135775258182417e-06,-9.780161697885015215e+00
9.999997595606501477e+00,2.174561455631128427e-06,-9.780161088835853889e+00
1.000000232261125355e+01,3.097943965093712915e-07,-9.780166756069990086e+00
1.000000338961572766e+01,-9.541407982378509567e-06,-9.780156101676354297e+00
1.000000542312061924e+01,-2.937162882773657285e-06,-9.780163732925645448e+00
9.999996158160680437e+00,-5.164367692517048564e-06,-9.780162363947917825e+00
1.000000619447664185e+01,-8.001754289624636270e-07,-9.780168437975719442e+00
9.999999699128908404e+00,4.690507704110940373e-06,-9.780159066519631850e+00
1.000000037078980064e+01,-3.893433992506878411e-06,-9.780160764538690543e+00
9.999997581878897535e+00,2.107061277244542802e-06,-9.780154974523943778e+00
9.999998512296595976e+00,2.742020130665020953e-06,-9.780155344655261374e+00
9.999998799008466221e+00,1.367268000884245630e-06,-9.780150774961878568e+00
9.999998167419304806e+00,-6.484038076765489867e-07,-9.780153568685895138e+00
1.000000098703467799e+01,4.260030569540189449e-06,-9.780154541702385629e+00
9.999994742818405058e+00,7.715305815415850909e-06,-9.780153669394630711e+00
1.000000520179633412e+01,-2.659723898465262706e-06,-9.780143259985484505e+00
9.999993102045241500e+00,-1.747386421395879449e-07,-9.780151192065764221e+00
9.999995682207222458e+00,3.550400731173128591e-06,-9.780156592734583043e+00
1.000000289318241542e+01,-6.289168894962818003e-06,-9.780142974708255110e+00
1.000000168245992427e+01,3.953143573074390547e-06,-9.780145258536789399e+00
1.000000395750046955e+01,-5.448876911370223950e-06,-9.780150023080825150e+00
9.999996229087647848e+00,-5.287798880902767472e-06,-9.780146757737901098e+00
9.999999393567136963e+00,6.272052734313594376e-07,-9.780142921299709968e+00
9.999993696952062194e+00,-1.600570528446593252e-06,-9.780141538044837546e+00
1.000000019729075973e+01,2.062261915344523402e-07,-9.780136994762106184e+00
9.999999115482012257e+00,1.048762317276494017e-06,-9.780140226556820693e+00
9.999992892303138703e+00,1.113638917283428077e-06,-9.780137361852030864e+00
9.999993293845472309e+00,4.824102995292195096e-06,-9.780138195572233073e+00
9.999995012446968090e+00,-6.790435065323331813e-06,-9.780140169913591919e+00
1.000000433687256418e+01,-2.736452485795211879e-07,-9.780131099983989884e+00
1.000000118753066758e+01,3.241538499884977703e-06,-9.780128123753122793e+00
9.999989792794886867e+00,-2.131714310217276536e-06,-9.780129290882397797e+00
9.999995085105636505e+00,-3.920466470401621214e-06,-9.780128772117665292e+00
1.000000279621530197e+01,2.304662889774516858e-06,-9.780133629170929765e+00
1.000000033350712592e+01,1.952073689828588881e-06,-9.780132952272568403e+00
1.000000533539951064e+01,-5.527175963174877938e-06,-9.780133842889224383e+00
1.000000110948596799e+01,-6.092352340751739002e-06,-9.780135642565173981e+00
