ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999781977067e+00,-1.272999658884653096e-08,-9.780246842528143247e+00
9.999999999803780071e+00,-1.290207166307072009e-08,-9.780246136973298476e+00
9.999999999823401708e+00,-1.307569138444956530e-08,-9.780245428261611806e+00
9.999999999841062248e+00,-1.325086265900610831e-08,-9.780244716393076132e+00
9.999999999856957089e+00,-1.342759239276338590e-08,-9.780244001367696782e+00
9.999999999871262091e+00,-1.360588749174442820e-08,-9.780243283185473757e+00
9.999999999884135349e+00,-1.378575486197228688e-08,-9.780242561846405280e+00
9.999999999895722524e+00,-1.396720140946998877e-08,-9.780241837350493128e+00
9.999999999906149739e+00,-1.415023404026058056e-08,-9.780241109697731972e+00
9.999999999915534232e+00,-1.433485966036710565e-08,-9.780240378888130692e+00
9.999999999923980809e+00,-1.452108517581259748e-08,-9.780239644921683961e+00
9.999999999931583616e+00,-1.470891749262010276e-08,-9.780238907798390002e+00
9.999999999938426143e+00,-1.489836351681265824e-08,-9.780238167518250592e+00
9.999999999944582996e+00,-1.508943015441330730e-08,-9.780237424081271058e+00
9.999999999950125229e+00,-1.528212431144509500e-08,-9.780236677487446073e+00
9.999999999955113239e+00,-1.547645289393106140e-08,-9.780235927736772084e+00
9.999999999959602093e+00,-1.567242280789424988e-08,-9.780235174829256195e+00
9.999999999963641528e+00,-1.587004095935770053e-08,-9.780234418764894855e+00
9.999999999967277731e+00,-1.606931425434445671e-08,-9.780233659543689839e+00
9.999999999970549780e+00,-1.627024959887756514e-08,-9.780232897165637596e+00
9.999999999973494980e+00,-1.647285389898006918e-08,-9.780232131630743453e+00
9.999999999976145304e+00,-1.667713406067500892e-08,-9.780231362939002082e+00
9.999999999978530951e+00,-1.688309698998542774e-08,-9.780230591090415260e+00
9.999999999980678567e+00,-1.709074959293437233e-08,-9.780229816084984762e+00
9.999999999982611243e+00,-1.730009877554488276e-08,-9.780229037922712365e+00
9.999999999984350296e+00,-1.751115144384000574e-08,-9.780228256603590964e+00
9.999999999985915267e+00,-1.772391450384278463e-08,-9.780227472127627664e+00
9.999999999987323918e+00,-1.793839486157626614e-08,-9.780226684494818912e+00
9.999999999988592236e+00,-1.815459942306349364e-08,-9.780225893705166484e+00
9.999999999989732657e+00,-1.837253509432750391e-08,-9.780225099758665053e+00
9.999999999990759392e+00,-1.859220878139134694e-08,-9.780224302655323498e+00
9.999999999991683097e+00,-1.881362739027806612e-08,-9.780223502395134716e+00
9.999999999992514432e+00,-1.903679782701070814e-08,-9.780222698978102258e+00
9.999999999993264055e+00,-1.926172699761230977e-08,-9.780221892404226125e+00
9.999999999993937294e+00,-1.948842180810592762e-08,-9.780221082673500987e+00
9.999999999994543032e+00,-1.971688916451459846e-08,-9.780220269785933951e+00
9.999999999995088373e+00,-1.994713597286136237e-08,-9.780219453741523239e+00
9.999999999995580424e+00,-2.017916913916927266e-08,-9.780218634540265299e+00
9.999999999996022737e+00,-2.041299556946136608e-08,-9.780217812182165460e+00
9.999999999996420641e+00,-2.064862216976069596e-08,-9.780216986667220169e+00
9.999999999996779465e+00,-2.088605584609029575e-08,-9.780216157995425874e+00
9.999999999997100986e+00,-2.112530350447321875e-08,-9.780215326166793233e+00
